member_id,plan,renewal_month,reminder_sent,renewed
BK-10027,family,2026-04,1,1
BK-10070,starter5,2026-04,0,1
BK-10273,office,2026-04,1,1
BK-10986,family,2026-04,1,1
BK-11304,athlete,2026-04,1,1
BK-11634,office,2026-04,1,1
BK-11675,campus,2026-04,1,1
BK-11748,starter5,2026-04,1,1
BK-12071,classic10,2026-04,1,0
BK-12156,campus,2026-04,0,0
BK-12411,family,2026-04,1,1
BK-12706,starter5,2026-04,0,0
BK-13215,campus,2026-04,1,1
BK-13484,athlete,2026-04,0,1
BK-13899,office,2026-04,1,1
BK-15559,family,2026-04,1,1
BK-15762,starter5,2026-04,1,1
BK-16558,starter5,2026-04,1,1
BK-17282,classic10,2026-04,0,0
BK-17840,campus,2026-04,0,0
BK-18131,classic10,2026-04,0,0
BK-18731,campus,2026-04,1,1
BK-18754,athlete,2026-04,0,0
BK-19095,campus,2026-04,0,0
BK-19195,classic10,2026-04,1,1
BK-19832,campus,2026-04,1,1
BK-20587,campus,2026-04,0,0
BK-20639,classic10,2026-04,1,0
BK-20956,family,2026-04,0,1
BK-21213,classic10,2026-04,1,0
BK-21350,classic10,2026-04,1,1
BK-23048,family,2026-04,1,0
BK-23175,campus,2026-04,0,1
BK-23289,starter5,2026-04,1,1
BK-23297,office,2026-04,1,1
BK-23476,classic10,2026-04,0,0
BK-23523,starter5,2026-04,1,1
BK-23870,classic10,2026-04,1,1
BK-24329,campus,2026-04,0,0
BK-24880,athlete,2026-04,0,0
BK-25183,athlete,2026-04,0,1
BK-25216,campus,2026-04,1,1
BK-25363,campus,2026-04,0,1
BK-25464,classic10,2026-04,1,1
BK-26209,family,2026-04,1,1
BK-26235,office,2026-04,1,0
BK-27158,campus,2026-04,1,1
BK-27166,starter5,2026-04,1,1
BK-28848,starter5,2026-04,1,1
BK-28939,family,2026-04,1,0
BK-29267,starter5,2026-04,1,1
BK-29540,campus,2026-04,0,1
BK-29553,classic10,2026-04,1,0
BK-30037,classic10,2026-04,0,1
BK-30452,family,2026-04,1,0
BK-31447,starter5,2026-04,0,1
BK-31511,starter5,2026-04,1,1
BK-31740,athlete,2026-04,1,0
BK-32874,campus,2026-04,0,0
BK-33421,classic10,2026-04,1,1
BK-33472,office,2026-04,1,1
BK-34010,office,2026-04,1,1
BK-34019,starter5,2026-04,1,1
BK-34046,starter5,2026-04,1,1
BK-34294,family,2026-04,1,0
BK-34322,starter5,2026-04,0,1
BK-34324,campus,2026-04,1,1
BK-34590,office,2026-04,0,0
BK-34813,starter5,2026-04,1,1
BK-35948,campus,2026-04,0,0
BK-35971,classic10,2026-04,1,1
BK-36907,office,2026-04,1,0
BK-37370,starter5,2026-04,0,0
BK-38413,starter5,2026-04,1,0
BK-38852,classic10,2026-04,1,1
BK-39222,starter5,2026-04,0,0
BK-39662,classic10,2026-04,0,1
BK-40344,family,2026-04,1,1
BK-40618,classic10,2026-04,1,1
BK-40909,classic10,2026-04,1,0
BK-41461,office,2026-04,1,1
BK-41585,campus,2026-04,0,0
BK-41606,classic10,2026-04,1,0
BK-41964,campus,2026-04,0,0
BK-42633,starter5,2026-04,1,1
BK-43157,office,2026-04,1,1
BK-43452,campus,2026-04,0,0
BK-43585,family,2026-04,1,1
BK-43589,campus,2026-04,0,0
BK-43678,classic10,2026-04,0,0
BK-44528,family,2026-04,1,1
BK-44763,classic10,2026-04,1,0
BK-45631,starter5,2026-04,1,1
BK-45804,starter5,2026-04,1,1
BK-45816,athlete,2026-04,1,0
BK-46094,campus,2026-04,1,1
BK-46120,athlete,2026-04,1,1
BK-46253,athlete,2026-04,1,1
